SalePrice,YearBuilt,YearBuilt2,YrSold,Yrsold2,MonthSold,Size(sqf),Size2(sqf),Floor,Floor2,HallwayType,HeatingType,AptManageType,N_Parkinglot(Ground),N_Parkinglot(Basement),TimeToBusStop,TimeToSubway,N_APT,N_APT2,N_manager,N_elevators,N_manager2,N_elevators2,N_FacilitiesNearBy(PublicOffice),N_FacilitiesNearBy(PublicOffice)2,N_FacilitiesNearBy(Hospital),N_FacilitiesNearBy(Dpartmentstore),N_FacilitiesNearBy(Mall),N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(Park),N_SchoolNearBy(Elementary),N_SchoolNearBy(Elementary)2,N_SchoolNearBy(Middle),N_SchoolNearBy(High),N_SchoolNearBy(University),N_FacilitiesInApt,N_FacilitiesNearBy(Total),N_SchoolNearBy(Total),N_SchoolNearBy(Total)2
141592,2006,4024036,2007,4028049,8,814,662596,3,9,terraced,individual_heating,management_in_trust,111,184,5min~10min,10min~15min,3,9,3,0,9,0,2,4,1,1,1,1,0,3,9,2,2,2,5,6,9,81
51327,1985,3940225,2007,4028049,8,587,344569,8,64,corridor,individual_heating,self_management,80,76,0~5min,5min~10min,1,1,2,2,4,4,5,25,1,2,1,2,1,2,4,1,1,0,3,12,4,16
48672,1985,3940225,2007,4028049,8,587,344569,6,36,corridor,individual_heating,self_management,80,76,0~5min,5min~10min,1,1,2,2,4,4,5,25,1,2,1,2,1,2,4,1,1,0,3,12,4,16
380530,2006,4024036,2007,4028049,8,2056,4227136,8,64,terraced,individual_heating,management_in_trust,249,536,0~5min,0-5min,6,36,5,11,25,121,1,1,1,0,1,0,0,2,4,2,1,2,5,3,7,49
221238,1993,3972049,2007,4028049,8,1761,3101121,3,9,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
35840,1992,3968064,2007,4028049,8,355,126025,5,25,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,9,5,10,25,100,7,49,1,1,1,5,1,4,16,3,5,5,3,16,17,289
78318,1992,3968064,2007,4028049,8,644,414736,2,4,mixed,individual_heating,self_management,142,79,5min~10min,15min~20min,3,9,4,8,16,64,5,25,1,1,1,1,0,3,9,3,4,4,3,9,14,196
61946,1993,3972049,2007,4028049,8,644,414736,10,100,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
84070,1993,3972049,2007,4028049,8,644,414736,3,9,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
83185,1992,3968064,2007,4028049,8,644,414736,13,169,mixed,individual_heating,self_management,142,79,5min~10min,15min~20min,3,9,4,8,16,64,5,25,1,1,1,1,0,3,9,3,4,4,3,9,14,196
168141,1986,3944196,2007,4028049,8,1377,1896129,4,16,terraced,central_heating,management_in_trust,713,0,0~5min,10min~15min,7,49,8,27,64,729,5,25,1,1,0,1,1,3,9,1,1,1,4,9,6,36
153982,1986,3944196,2007,4028049,8,914,835396,11,121,terraced,central_heating,management_in_trust,713,0,0~5min,10min~15min,7,49,8,27,64,729,5,25,1,1,0,1,1,3,9,1,1,1,4,9,6,36
200884,2007,4028049,2007,4028049,8,868,753424,18,324,terraced,individual_heating,management_in_trust,0,1270,0~5min,0-5min,7,49,14,16,196,256,3,9,1,2,1,0,2,3,9,3,2,2,10,9,10,100
60176,1985,3940225,2007,4028049,9,587,344569,7,49,corridor,individual_heating,self_management,80,76,0~5min,5min~10min,1,1,2,2,4,4,5,25,1,2,1,2,1,2,4,1,1,0,3,12,4,16
93362,1986,3944196,2007,4028049,9,910,828100,7,49,corridor,individual_heating,management_in_trust,100,18,0~5min,5min~10min,1,1,1,2,1,4,5,25,1,2,1,1,1,6,36,2,3,2,3,11,13,169
185840,1993,3972049,2007,4028049,9,1288,1658944,24,576,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
120796,1993,3972049,2007,4028049,9,914,835396,2,4,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
64601,1992,3968064,2007,4028049,9,576,331776,5,25,corridor,individual_heating,management_in_trust,200,0,5min~10min,10min~15min,3,9,5,10,25,100,7,49,1,1,1,5,1,4,16,3,5,5,3,16,17,289
176991,1993,3972049,2007,4028049,9,1451,2105401,1,1,mixed,individual_heating,management_in_trust,523,536,0~5min,15min~20min,8,64,8,20,64,400,6,36,2,0,1,5,0,4,16,3,5,5,4,14,17,289
